Convention,Day,Text
2020 RNC,Day 1,YOU KNOW WHAT I'M TALKING ABOUT.
2020 RNC,Day 1,BUT YOU WERE ABLE TO GET ME OUT
2020 RNC,Day 1,OF THAT PRISON IN RECORD TIME.
2020 RNC,Day 1,IT WAS AMAZING.
2020 RNC,Day 1,>> THANK YOU VERY MUCH OF
2020 RNC,Day 1,>> THE PLEASURE -- THANK YOU
2020 RNC,Day 1,VERY MUCH.
2020 RNC,Day 1,>> THE PLEASURE IS ALL MINE.
2020 RNC,Day 1,>> MY NAME IS JOSH.
2020 RNC,Day 1,THIS IS MY WIFE TAMMY.
2020 RNC,Day 1,WE WERE HELD IN VENEZUELA FOR
2020 RNC,Day 1,TWO YEARS.
2020 RNC,Day 1,>> I KNOW VERY WELL.
2020 RNC,Day 1,>> YOU HELPED US GET OUT.
2020 RNC,Day 1,AND THE SENATOR WORKED WITH YOU
2020 RNC,Day 1,ON THAT AS WELL.
2020 RNC,Day 1,IT WAS A GREAT HONOR TO BE ABLE
2020 RNC,Day 1,TO MEET YOU WHEN WE GOT BACK.
2020 RNC,Day 1,A LOT OF PEOPLE SAID WHAT WAS IT
2020 RNC,Day 1,LIKE MEETING PRESIDENT TRUMP?
2020 RNC,Day 1,I GOT RELEASED AND SHAKING THE
2020 RNC,Day 1,HAND OF THE PRESIDENT IN THE
2020 RNC,Day 1,OVAL OFFICE.
2020 RNC,Day 1,IT'S GREAT TO MEET YOU.
2020 RNC,Day 1,IT'S BEEN GREAT TO HELP PEOPLE
2020 RNC,Day 1,THROUGH SCHISM WATIONS THAT
2020 RNC,Day 1,THEY'VE GONE THROUGH AND NOW WE
2020 RNC,Day 1,HAVE STARTED OUR FAMILY.
2020 RNC,Day 1,">> WELL, THE GREAT PEOPLE OF"
2020 RNC,Day 1,UTAH REALLY WANTED ME TO DO
2020 RNC,Day 1,SOMETHING ABOUT THE TWO OF YOU.
2020 RNC,Day 1,AND WE WERE ABLE TO DO IT.
2020 RNC,Day 1,"AND A LITTLE BIT OF A MIRACLE, I"
2020 RNC,Day 1,THINK FRANKLY.
2020 RNC,Day 1,>> IT WAS.
2020 RNC,Day 1,>> BECAUSE THAT WAS A VERY
2020 RNC,Day 1,HOSTILE PERIOD.
2020 RNC,Day 1,WE APPRECIATE EVERYBODY WORKING
2020 RNC,Day 1,SO HARD WITH US.
2020 RNC,Day 1,BUT WE WERE ABLE TO GET YOU BOTH
2020 RNC,Day 1,BACK.
2020 RNC,Day 1,YOU'RE LIVING IN UTAH I HOPE.
2020 RNC,Day 1,>> WE'RE STILL LIVING IN UTAH.
2020 RNC,Day 1,>> SAY HELLO TO THE FOLKS IN
2020 RNC,Day 1,UTAH.
2020 RNC,Day 1,BECAUSE THEY'RE GREAT PEOPLE.
2020 RNC,Day 1,THANK YOU VERY MUCH.
2020 RNC,Day 1,CONGRATULATIONS.
2020 RNC,Day 1,>> THANK YOU.
2020 RNC,Day 1,>> PLEASE.
2020 RNC,Day 1,">> BRIAN, I SPENT AN UNEXPECTED"
2020 RNC,Day 1,TRIP TO INDIA.
2020 RNC,Day 1,I WAS NOT GOING TO INDIA.
2020 RNC,Day 1,I WAS GOING THROUGH INDIA TO
2020 RNC,Day 1,NEPAL.
2020 RNC,Day 1,ON BEHALF OF MY FAMILY AND
2020 RNC,Day 1,"MYSELF, THANK YOU."
2020 RNC,Day 1,THANK YOU FOR GETTING US OUT AND
2020 RNC,Day 1,GETTING US HOME.
2020 RNC,Day 1,THE DARKEST MOMENT OF OUR WHOLE
2020 RNC,Day 1,"TIME TOGETHER, YOUR LETTER TO MY"
2020 RNC,Day 1,WIFE CAME.
2020 RNC,Day 1,FROM THAT TIME FORWARD AS MORE
2020 RNC,Day 1,PEOPLE GOT INVOLVED ESPECIALLY
2020 RNC,Day 1,"THE AMBASSADOR THERE IN INDIA,"
2020 RNC,Day 1,THINGS BECAME MORE PEACEFUL AND
2020 RNC,Day 1,THE HOPE WAS THERE FOR THE LAST
2020 RNC,Day 1,FOUR MONTHS.
2020 RNC,Day 1,AND WE GOT TO COME HOME BECAUSE
2020 RNC,Day 1,THEY PLANNED TO GET ME THERE FOR
2020 RNC,Day 1,THREE TO FIVE YEARS.
2020 RNC,Day 1,THE ORIGINAL CHARGE WAS THREE TO
2020 RNC,Day 1,FIVE YEARS.
2020 RNC,Day 1,THAT WAS CLEARED AND THEY CAME
2020 RNC,Day 1,UP WITH NEW CHARGES TO GIVE ME A
2020 RNC,Day 1,SEVEN YEARS.
2020 RNC,Day 1,>> INDIA RESPONDED VERY WELL TO
2020 RNC,Day 1,"MY ""."
2020 RNC,Day 1,SO WE APPRECIATE THAT
2020 RNC,Day 1,>> WE APPRECIATE EVERYTHING YOU
2020 RNC,Day 1,DID.
2020 RNC,Day 1,>> THANK YOU ALL FOR BEING WITH
2020 RNC,Day 1,US.
2020 RNC,Day 1,WE HAVE A FEW MORE PEOPLE THAT
2020 RNC,Day 1,WE WANT TO GET BACK AND WE WILL
2020 RNC,Day 1,GET THEM BACK VERY SOON.
2020 RNC,Day 1,THANK YOU VERY MUCH.
2020 RNC,Day 1,GREAT STORIES.
2020 RNC,Day 1,>> HELLO.
2020 RNC,Day 1,MY NAME IS MAXIMO ALVAREZ.
2020 RNC,Day 1,"I LIVE IN MIAMI, FLORIDA."
2020 RNC,Day 1,NOT FAR FROM THE STATE OF
2020 RNC,Day 1,"FLORIDA, WHICH IS JUST A 90-MILE"
2020 RNC,Day 1,BLUE SEA FROM ME.
2020 RNC,Day 1,IT DIVIDES THE PAST FROM THE
2020 RNC,Day 1,PRESENT FROM THE FUTURE.
2020 RNC,Day 1,I KNOW ALL ABOUT THE PAST.
2020 RNC,Day 1,I'LL NEVER FORGET MY OWN.
2020 RNC,Day 1,MY FAMILY HAS FLED
2020 RNC,Day 1,TOTALITARIANISM AND COMMUNISM
2020 RNC,Day 1,MORE THAN ONCE.
2020 RNC,Day 1,FIRST MY DAD FROM SPAIN.
2020 RNC,Day 1,THEN FROM CUBA.
2020 RNC,Day 1,BUT MY FAMILY IS DONE RUNNING
2020 RNC,Day 1,AWAY.
2020 RNC,Day 1,"BY THE GRACE OF GOD, I LIVE THE"
2020 RNC,Day 1,"AMERICAN DREAM, THE GREATEST"
2020 RNC,Day 1,BLESSING I EVER HAD.
2020 RNC,Day 1,MY DAD ONLY HAD A SIX GRADE
2020 RNC,Day 1,"EDUCATION TOLD ME, DON'T LOSE"
2020 RNC,Day 1,THIS PLACE.
2020 RNC,Day 1,I'M SPEAKING TO YOU TODAY
2020 RNC,Day 1,BECAUSE MY FAMILY IS NOT
2020 RNC,Day 1,ABANDONING WHAT WE RIGHTFULLY
2020 RNC,Day 1,EARNED.
2020 RNC,Day 1,THERE'S NO PLACE TO EARN.
2020 RNC,Day 1,I'M SPEAKING TO YOU TODAY
2020 RNC,Day 1,BECAUSE PRESIDENT TRUMP MAY NOT
2020 RNC,Day 1,ALWAYS BE POLITICALLY CORRECT.
2020 RNC,Day 1,"HE'S IN FACT, A SUCCESSFUL"
2020 RNC,Day 1,BUSINESSMAN.
2020 RNC,Day 1,NOT YOUR AVERAGE CAREER
2020 RNC,Day 1,POLITICIAN.
2020 RNC,Day 1,OUR PRESIDENT IS JUST ANOTHER
2020 RNC,Day 1,"FAMILY MAN, A FRIEND, AND MOST"
2020 RNC,Day 1,"IMPORTANT, OUR ELECTED COMMANDER"
2020 RNC,Day 1,IN CHIEF WHO PUTS AMERICA FIRST.
2020 RNC,Day 1,KEEP IN MIND THE OTHER GUY
2020 RNC,Day 1,RUNNING FOR PRESIDENT IS MOSTLY
2020 RNC,Day 1,CONCERNED ABOUT POWER.
2020 RNC,Day 1,"YES, YES, POWER FOR THEM, BUT"
2020 RNC,Day 1,NOT FOR THE BENEFIT OF ALL
2020 RNC,Day 1,AMERICANS.
2020 RNC,Day 1,I'M SPEAKING TO YOU TODAY
2020 RNC,Day 1,BECAUSE I HAVE SEEN PEOPLE LIKE
2020 RNC,Day 1,THIS BEFORE.
2020 RNC,Day 1,I'VE SEEN MOVEMENTS LIKE THIS
2020 RNC,Day 1,BEFORE.
2020 RNC,Day 1,I'VE SEEN IDEAS LIKE THIS BEFORE
2020 RNC,Day 1,.
2020 RNC,Day 1,"AND I AM HERE TO TELL YOU, WE"
2020 RNC,Day 1,CANNOT LET THEM TAKE OVER OUR
2020 RNC,Day 1,COUNTRY.
2020 RNC,Day 1,I HEARD THE PROMISES OF FIDEL
2020 RNC,Day 1,CASTRO.
2020 RNC,Day 1,AND I CAN NEVER FORGET ALL THOSE
2020 RNC,Day 1,"WHO GREW UP AROUND ME, WHO LOOK"
2020 RNC,Day 1,"LIKE ME, WHO SUFFER AND STARVED"
2020 RNC,Day 1,AND DIED BECAUSE THEY BELIEVED
2020 RNC,Day 1,THOSE EMPTY PROMISES.
2020 RNC,Day 1,THEY SWALLOW THEIR COMMUNIST
2020 RNC,Day 1,POISON PILL.
2020 RNC,Day 1,IF YOU HAVE A CHANCE GO TO THE
2020 RNC,Day 1,"FREEDOM TOWER IN MIAMI, STOP AND"
2020 RNC,Day 1,LISTEN.
2020 RNC,Day 1,YOU CAN STILL HEAR THE SOUNDS OF
2020 RNC,Day 1,THOSE BROKEN PROMISES.
2020 RNC,Day 1,IT IS THE SOUND OF WAVES IN THE
2020 RNC,Day 1,OCEAN CARRYING FAMILIES INTO
2020 RNC,Day 1,PIECES OF WOOD.
2020 RNC,Day 1,FAMILIES OF CHILDREN WHO CAN'T
2020 RNC,Day 1,SWIM BUT WILLING TO RISK
2020 RNC,Day 1,EVERYTHING TO REACH THIS BLESSED
2020 RNC,Day 1,LAND.
2020 RNC,Day 1,IT IS THE SOUND OF TEARS HITTING
2020 RNC,Day 1,THE PAPER OF AN APPLICATION TO
2020 RNC,Day 1,BECOME AN AMERICAN CITIZEN.
2020 RNC,Day 1,SOON AFTER THEY EXPERIENCED THE
2020 RNC,Day 1,REALITY.
2020 RNC,Day 1,LOOK AT THEM.
2020 RNC,Day 1,LISTEN TO THEM.
2020 RNC,Day 1,LEARN THE TRUTH.
2020 RNC,Day 1,THOSE FALSE PROMISES SPREAD THE
2020 RNC,Day 1,"WEALTH, FREE EDUCATION, FREE"
2020 RNC,Day 1,"HEALTHCARE, DEFUND THE POLICE,"
2020 RNC,Day 1,TRUST A SOCIALIST STATE MORE
2020 RNC,Day 1,THAN YOUR FAMILY AND YOUR
2020 RNC,Day 1,"COMMUNITY, THEY DON'T SOUND"
2020 RNC,Day 1,RADICAL TO MY EARS.
2020 RNC,Day 1,THEY SOUND FAMILIAR.
2020 RNC,Day 1,AND FIDEL CASTRO WAS ASKED IF HE
2020 RNC,Day 1,WAS A COMMUNIST.
2020 RNC,Day 1,HE SAID HE WAS A ROMAN CATHOLIC.
2020 RNC,Day 1,HE KNEW HE HAD TO HIDE THE
2020 RNC,Day 1,TRUTH.
2020 RNC,Day 1,BUT THE COUNTRY I WAS BORN IN IS
2020 RNC,Day 1,"GONE, TOTALLY DESTROYED."
2020 RNC,Day 1,WHEN I WATCH THE NEWS IN
2020 RNC,Day 1,"SEATTLE, CHICAGO, PORTLAND AND"
2020 RNC,Day 1,"OTHER CITIES, WHEN YOU SEE THE"
2020 RNC,Day 1,"HISTORY BEING RE-WRITTEN, WHEN I"
2020 RNC,Day 1,"HEAR THE PROMISES, I HEAR ECHOS"
2020 RNC,Day 1,OF A FORMER LIFE I NEVER WANTED
2020 RNC,Day 1,TO HEAR AGAIN.
2020 RNC,Day 1,I SEE SHADOWS I THOUGHT I WAS
2020 RNC,Day 1,OUT OF THEM.
2020 RNC,Day 1,MY PARENTS ONLY WANTED ONE
2020 RNC,Day 1,"PERSON TO DECIDE MY FATE, ME."
2020 RNC,Day 1,"NOT SOME PARTY MEMBER, NOT SOME"
2020 RNC,Day 1,"GOVERNMENT OFFICIAL, NOT SOME"
2020 RNC,Day 1,BUREAUCRAT.
2020 RNC,Day 1,"IN AMERICA, I WILL DECIDE MY OWN"
2020 RNC,Day 1,FUTURE.
2020 RNC,Day 1,"I'M SO GRATEFUL TO AMERICA, THE"
2020 RNC,Day 1,PLACE WHERE I WAS ABLE TO BUILD
2020 RNC,Day 1,MY AMERICAN DREAM THROUGH HARD
2020 RNC,Day 1,WORK AND DETERMINATION.
2020 RNC,Day 1,PRESIDENT TRUMP KNOWS THE
2020 RNC,Day 1,AMERICAN STORY WAS WRITTEN BY
2020 RNC,Day 1,"PEOPLE JUST LIKE YOU AND I, WHO"
2020 RNC,Day 1,LOVE OUR COUNTRY AND TAKE RISKS
2020 RNC,Day 1,TO BUILD A FUTURE FOR OUR
2020 RNC,Day 1,FAMILIES AND NEIGHBORS.
2020 RNC,Day 1,"I MAY BE CUBAN-BORN, BUT I AM"
2020 RNC,Day 1,100% AMERICAN.
2020 RNC,Day 1,THIS IS THE GREATEST COUNTRY IN
2020 RNC,Day 1,"THE WORLD, AND I SAID THIS"
2020 RNC,Day 1,"BEFORE, IF I GAVE AWAY"
2020 RNC,Day 1,"EVERYTHING THAT I HAVE TODAY, IT"
2020 RNC,Day 1,WOULD NOT EQUAL 1% OF WHAT I WAS
2020 RNC,Day 1,GIVEN WHEN I CAME TO THIS GREAT
2020 RNC,Day 1,"COUNTRY OF OURS, THE GIFT OF"
2020 RNC,Day 1,FREEDOM.
2020 RNC,Day 1,"RIGHT NOW, IT IS UP TO US TO"
2020 RNC,Day 1,DECIDE OUR FATE AND TO CHOOSE
2020 RNC,Day 1,FREEDOM OVER OPPRESSION.
2020 RNC,Day 1,"PRESIDENT TRUMP, HE'S FIGHTING"
2020 RNC,Day 1,THE FORCES OF ANARCHY AND
2020 RNC,Day 1,COMMUNISM.
2020 RNC,Day 1,AND I KNOW HE WILL CONTINUE TO
2020 RNC,Day 1,"DO JUST THAT, AND WHAT ABOUT HIS"
2020 RNC,Day 1,OPPONENT AND THE REST OF THE
2020 RNC,Day 1,D.C. SWAMP?
2020 RNC,Day 1,I HAVE NO DOUBT THEY WILL HAND
2020 RNC,Day 1,THE COUNTRY OVER TO THOSE
2020 RNC,Day 1,DANGEROUS FORCES.
2020 RNC,Day 1,"YOU AND I WILL DECIDE, AND"
2020 RNC,Day 1,HERE'S WHAT I'VE DECIDED.
2020 RNC,Day 1,MY DECISION IS VERY EASY.
2020 RNC,Day 1,I CHOOSE PRESIDENT TRUMP BECAUSE
2020 RNC,Day 1,I CHOOSE AMERICA.
2020 RNC,Day 1,I CHOOSE FREEDOM.
2020 RNC,Day 1,I STILL HEAR MY DAD.
2020 RNC,Day 1,THERE IS NO OTHER PLACE TO GO.
2020 RNC,Day 1,THANK YOU.
2020 RNC,Day 1,AND MAY THE GOOD LORD BLESS
2020 RNC,Day 1,AMERICA.
2020 RNC,Day 1,_
2020 RNC,Day 1,>> DEMOCRATS ARE GOING MORE AND
2020 RNC,Day 1,MORE LEFT.
2020 RNC,Day 1,>> POSITIVE ABOUT SOCIALISM
2020 RNC,Day 1,LIKING IT MORE THAN CAPITALISM.
2020 RNC,Day 1,>> MANY OF THE IDEAS THAT WE
2020 RNC,Day 1,FOUGHT FOR THAT WERE CONSIDERED
2020 RNC,Day 1,RADICAL ARE NOW MAINSTREAM.
2020 RNC,Day 1,>> IF THEY ARE IMPLEMENTED WILL
2020 RNC,Day 1,MAKE BIDEN IF MOST PROGRESSIVE
2020 RNC,Day 1,PRESIDENT SINCE F. D.R.
2020 RNC,Day 1,>> THE RADICAL LEFT HAS TAKEN
2020 RNC,Day 1,OVER THE DEMOCRATIC PARTY.
2020 RNC,Day 1,AND JOE BIDEN IS MARCHING IN
2020 RNC,Day 1,LOCKSTEP WITH THEM.
2020 RNC,Day 1,BIDEN AND THE FAR LEFT ARE
2020 RNC,Day 1,PROMISING TO CRUSH MIDDLE-CLASS
2020 RNC,Day 1,FAMILY WITH TRILLION YONS IN NEW
2020 RNC,Day 1,TAXES.
2020 RNC,Day 1,">> IF YOU'RE LIKE ME, YOU'RE"
2020 RNC,Day 1,TAXES ARE GOING TO BE RAISED NOT
2020 RNC,Day 1,CUT.
2020 RNC,Day 1,>> PROMISING AMNESTY AND
2020 RNC,Day 1,HEALTHCARE FOR 11 MILLION
2020 RNC,Day 1,IMMIGRANTS.
2020 RNC,Day 1,>> PROMISING TO SHUT DOWN ENERGY
2020 RNC,Day 1,EXPLORATION AND KILLING JOBS AND
2020 RNC,Day 1,HURTING AMERICA'S ECONOMY.
2020 RNC,Day 1,">> I GUARANTEE YOU, WE'RE GOING"
2020 RNC,Day 1,TO END FOSSIL FUEL.
2020 RNC,Day 1,">> IN JOE BIDEN'S AMERICA, THE"
2020 RNC,Day 1,RADICAL LEFT GET WHATEVER THEY
2020 RNC,Day 1,WANT AND YOU GET TO PAY FOR IT.
2020 RNC,Day 1,THEY'VE ALREADY TAKEN OVER JOE
2020 RNC,Day 1,BIDEN AND THE DEMOCRATIC PARTY.
2020 RNC,Day 1,DON'T LET THEM TAKE OVER
2020 RNC,Day 1,AMERICA.
2020 RNC,Day 1,>> GOOD EVENING.
2020 RNC,Day 1,"I'M NIKKI HALEY, AND IT'S GREAT"
2020 RNC,Day 1,TO BE BACK AT THE REPUBLICAN
2020 RNC,Day 1,NATIONAL CONVENTION.
2020 RNC,Day 1,I'LL START WITH A LITTLE STORY.
2020 RNC,Day 1,IT'S ABOUT AN AMERICAN
2020 RNC,Day 1,AMBASSADOR TO THE UNITED NATIONS
2020 RNC,Day 1,", AND IT'S ABOUT A SPEECH SHE"
2020 RNC,Day 1,GAVE TO THIS CONVENTION.
2020 RNC,Day 1,SHE CALLED FOR THE RE-ELECTION
2020 RNC,Day 1,OF THE REPUBLICAN PRESIDENT SHE
2020 RNC,Day 1,SERVED.
2020 RNC,Day 1,AND SHE CALLED OUT HIS
2020 RNC,Day 1,DEMOCRATIC OPPONENT.
2020 RNC,Day 1,A FORMER VICE PRESIDENT FROM A
2020 RNC,Day 1,FAILED ADMINISTRATION.
2020 RNC,Day 1,"THAT AMBASSADOR SAID, AND I"
2020 RNC,Day 1,"QUOTE, DEMOCRATS ALWAYS BLAME"
2020 RNC,Day 1,"AMERICA FIRST."""
2020 RNC,Day 1,THE YEAR WAS 1984.
2020 RNC,Day 1,THE PRESIDENT WAS RONALD REAGAN.
2020 RNC,Day 1,AND AMBASSADOR JANE
2020 RNC,Day 1,KIRKPATRICK'S WORDS ARE JUST AS
2020 RNC,Day 1,TRUE YOU TODAY.
2020 RNC,Day 1,JOE BIDEN AND THE DEMOCRATS ARE
2020 RNC,Day 1,STILL BLAMING AMERICA FIRST.
2020 RNC,Day 1,DONALD TRUMP HAS ALWAYS PUT
2020 RNC,Day 1,AMERICA FIRST.
2020 RNC,Day 1,AND HE HAS EARNED FOUR MORE
2020 RNC,Day 1,YEARS AS PRESIDENT.
2020 RNC,Day 1,IT WAS AN HONOR OF A LIFETIME TO
2020 RNC,Day 1,SERVE AS THE UNITED STATES
2020 RNC,Day 1,AMBASSADOR TO THE UNITED
2020 RNC,Day 1,NATIONS.
2020 RNC,Day 1,"NOW, THE U.N. IS NOT FOR THE"
2020 RNC,Day 1,FAINT OF HEART.
2020 RNC,Day 1,"IT'S A PLACE WHERE DICTATORS,"
2020 RNC,Day 1,"MURDERS, AND THIEVES DENOUNCE"
2020 RNC,Day 1,AMERICA AND THEN PUT THEIR HANDS
2020 RNC,Day 1,OUT AND DEMAND THAT WE PAY THEIR
2020 RNC,Day 1,BILLS.
2020 RNC,Day 1,"WELL, PRESIDENT TRUMP PUT AN END"
2020 RNC,Day 1,TO ALL OF THAT.
2020 RNC,Day 1,"WITH HIS LEADERSHIP, WE DID WHAT"
2020 RNC,Day 1,BARACK OBAMA AND JOE BIDEN
2020 RNC,Day 1,REFUSED TO DO.
2020 RNC,Day 1,WE STOOD UP FOR AMERICA.
2020 RNC,Day 1,AND WE STOOD AGAINST OUR
2020 RNC,Day 1,ENEMIES.
2020 RNC,Day 1,OBAMA AND BIDEN LET NORTH KOREA
2020 RNC,Day 1,THREATEN AMERICA.
2020 RNC,Day 1,PRESIDENT TRUMP REJECTED THAT
2020 RNC,Day 1,WEAKNESS.
2020 RNC,Day 1,AND WE PASS TT TOUGHEST
2020 RNC,Day 1,SANCTIONS IN NORTH KOREA IN
2020 RNC,Day 1,HISTORY.
2020 RNC,Day 1,OBAMA AND BIDEN LET IRAN GET
2020 RNC,Day 1,AWAY WITH MURDER AND LITERALLY
2020 RNC,Day 1,SENT THEM A PLANE FULL OF CASH.
2020 RNC,Day 1,PRESIDENT TRUMP DID THE RIGHT
2020 RNC,Day 1,THING AND RIPPED UP THE IRAN
2020 RNC,Day 1,NUCLEAR DEAL.
2020 RNC,Day 1,OBAMA AND BIDEN LED THE UNITED
2020 RNC,Day 1,NATIONS TO DENOUNCE OUR FRIEND
2020 RNC,Day 1,AND ALLY ISRAEL.
2020 RNC,Day 1,PRESIDENT TRUMP MOVED OUR
2020 RNC,Day 1,EMBASSY TO JERUSALEM AND WHEN
2020 RNC,Day 1,"THE U.N. TRIED TO CONDEMN US, I"
2020 RNC,Day 1,WAS PROUD TO CAST THE AMERICAN
2020 RNC,Day 1,VETO.
2020 RNC,Day 1,THIS PRESIDENT HAS A RECORD OF
2020 RNC,Day 1,STRENGTH AND SUCCESS.
2020 RNC,Day 1,THE FORMER VICE PRESIDENT HAS A
2020 RNC,Day 1,RECORD OF WEAKNESS AND FAILURE.
2020 RNC,Day 1,JOE BIDEN IS GOOD FOR IRAN AND
2020 RNC,Day 1,"ISIS, GREAT FOR COMMUNIST CHINA."
2020 RNC,Day 1,AND HE'S A GOD-SEND TO EVERYONE
2020 RNC,Day 1,"WHO WANTS AMERICA TO APOLOGIZE,"
2020 RNC,Day 1,ABOUT STAIN AND ABANDON OUR
2020 RNC,Day 1,VALUES.
2020 RNC,Day 1,DONALD TRUMP TAKES A DIFFERENT
2020 RNC,Day 1,APPROACH.
2020 RNC,Day 1,HE'S TOUGH ON CHINA.
2020 RNC,Day 1,AND HE TOOK ON ISIS AND WON.
2020 RNC,Day 1,AND HE TELLS THE WORLD WHAT IT
2020 RNC,Day 1,NEEDS TO HEAR.
2020 RNC,Day 1,"AT HOME, THE PRESIDENT IS THE"
2020 RNC,Day 1,CLEAR CHOICE ON JOBS AND THE
2020 RNC,Day 1,ECONOMY.
2020 RNC,Day 1,HE'S MOVED AMERICA FORWARD.
2020 RNC,Day 1,"WHILE JOE BIDEN, HAS HELD"
2020 RNC,Day 1,AMERICA BACK.
2020 RNC,Day 1,"WHILE JOE WAS V.P., I WAS"
2020 RNC,Day 1,GOVERNOR OF THE GREAT STATE OF
2020 RNC,Day 1,SOUTH CAROLINA.
2020 RNC,Day 1,WE HAD A PRETTY GOOD RUN.
2020 RNC,Day 1,MANUFACTURES OF ALL KINDS
2020 RNC,Day 1,FLOCKED TO OUR STATE FROM
2020 RNC,Day 1,OVERSEAS CREATING TENS OF
2020 RNC,Day 1,THOUSANDS OF AMERICAN JOBS.
2020 RNC,Day 1,PEOPLE WERE REFERRING TO SOUTH
2020 RNC,Day 1,CAROLINA AS THE BEAST OF THE
2020 RNC,Day 1,"SOUTHEAST, WHICH I LOVED."
2020 RNC,Day 1,EVERYTHING WE DID HAPPENED IN
2020 RNC,Day 1,SPITE OF JOE BIDEN AND HIS OLD
2020 RNC,Day 1,BOSS.
2020 RNC,Day 1,WE CUT TAXES.
2020 RNC,Day 1,THEY RAISED THEM.
2020 RNC,Day 1,WE SLASHED RED TAPE.
2020 RNC,Day 1,THEY PILED ON MORE MANDATES.
2020 RNC,Day 1,AND WHEN WE BROUGHT IN
2020 RNC,Day 1,"GOOD-PAYING JOBS, BIDEN AND"
2020 RNC,Day 1,OBAMA SUED US.
2020 RNC,Day 1,I FOUGHT BACK.
2020 RNC,Day 1,AND THEY GAVE UP.
2020 RNC,Day 1,A BIDEN-HARRIS ADMINISTRATION
2020 RNC,Day 1,"WOULD BE MUCH, MUCH WORSE."
2020 RNC,Day 1,"LAST TIME, JOE'S BOSS WAS OBAMA."
2020 RNC,Day 1,"THIS TIME, IT WOULD BE PELOSI,"
2020 RNC,Day 1,"SANDERS, AND THE SQUAD."
2020 RNC,Day 1,THEIR VISION FOR AMERICA IS
2020 RNC,Day 1,"SOCIALISM, AND WE KNOW THAT"
2020 RNC,Day 1,SOCIALISM HAS FAILED EVERYWHERE.
2020 RNC,Day 1,THEY WANT TO TELL AMERICANS HOW
2020 RNC,Day 1,TO LIVE AND WHAT TO THINK.
2020 RNC,Day 1,THEY WANT A GOVERNMENT TAKEOVER
2020 RNC,Day 1,OF HEALTHCARE.
2020 RNC,Day 1,THEY WANT TO BAN FRACKING AND
2020 RNC,Day 1,KILL MILLIONS OF JOBS.
2020 RNC,Day 1,THEY WANT MASSIVE TAX HIKES ON
2020 RNC,Day 1,WORKING FAMILIES.
2020 RNC,Day 1,JOE BIDEN AND THE SOCIALIST LEFT
2020 RNC,Day 1,WOULD BE A DISASTER FOR OUR
2020 RNC,Day 1,ECONOMY.
2020 RNC,Day 1,BUT PRESIDENT TRUMP IS LEADING A
2020 RNC,Day 1,NEW ERA OF OPPORTUNITY.
2020 RNC,Day 1,BEFORE COMMUNIST CHINA GAVE US
2020 RNC,Day 1,"THE CORONAVIRUS, WE WERE"
2020 RNC,Day 1,BREAKING ECONOMIC RECORDS LEFT
2020 RNC,Day 1,AND RIGHT.
2020 RNC,Day 1,"THE PANDEMIC HAS SET US BACK,"
2020 RNC,Day 1,BUT NOT FOR LONG.
2020 RNC,Day 1,PRESIDENT TRUMP BROUGHT OUR
2020 RNC,Day 1,ECONOMY BACK BEFORE.
2020 RNC,Day 1,AND HE WILL BRING IT BACK AGAIN.
2020 RNC,Day 1,THERE'S ONE MORE IMPORTANT AREA
2020 RNC,Day 1,WHERE OUR PRESIDENT IS RIGHT.
2020 RNC,Day 1,HE KNOWS THAT POLITICAL
2020 RNC,Day 1,CORRECTNESS AND CANCEL CULTURE
2020 RNC,Day 1,ARE DANGEROUS AND JUST PLAIN
2020 RNC,Day 1,WRONG.
2020 RNC,Day 1,"IN MUCH OF THE DEMOCRATIC PARTY,"
2020 RNC,Day 1,IT'S NOW FASHIONABLE TO SAY THAT
2020 RNC,Day 1,AMERICA IS RACIST.
2020 RNC,Day 1,THAT IS A LIE.
2020 RNC,Day 1,AMERICA IS NOT A RACIST COUNTRY.
2020 RNC,Day 1,THIS IS PERSONAL FOR ME.
2020 RNC,Day 1,I'M THE PROUD DAUGHTER OF INDIAN
2020 RNC,Day 1,IMMIGRANTS.
2020 RNC,Day 1,THEY CAME TO AMERICA AND SETTLED
2020 RNC,Day 1,IN A SMALL SOUTHERN TOWN.
2020 RNC,Day 1,MY FATHER WORE A TURBINE.
2020 RNC,Day 1,MY MOTHER WORE A SARI.
2020 RNC,Day 1,I WAS A BROWN GIRL IN A BLACK
2020 RNC,Day 1,AND WHITE WORLD.
2020 RNC,Day 1,WITH WE FACED DISCRIMINATION AND
2020 RNC,Day 1,HARDSHIP.
2020 RNC,Day 1,BUT MY PARENTS NEVER GAVE IN TO
2020 RNC,Day 1,GRIEVANCE AND HATE.
2020 RNC,Day 1,MY DAD TAUGHT 30 YEARS AT A
2020 RNC,Day 1,HISTORICALLY BLACK COLLEGE.
2020 RNC,Day 1,AND THE PEOPLE OF SOUTH CAROLINA
2020 RNC,Day 1,CHOSE ME AS THEIR FIRST MINORITY
2020 RNC,Day 1,AND FIRST FEMALE GOVERNOR.
2020 RNC,Day 1,AMERICA IS A STORY THAT'S A WORK
2020 RNC,Day 1,IN PROGRESS.
2020 RNC,Day 1,NOW IS THE TIME TO BUILD ON THAT
2020 RNC,Day 1,"PROGRESS AND MAKE AMERICA FREER,"
2020 RNC,Day 1,FAIRER AND BETTER FOR EVERYONE.
