year,rank,artist
2016,35,Thomas Rhett
2016,36,G-Eazy
2016,37,Coldplay
2016,38,Kanye West
2016,39,Jeremih
2016,40,DJ Khaled
2016,41,Bebe Rexha
2016,42,Luke Bryan
2016,43,James Bay
2016,44,Kent Jones
2016,45,Taylor Swift
2016,46,X Ambassadors
2016,47,Kiiara
2016,48,Elle King
2016,49,Travis Scott
2016,50,Ty Dolla $ign
2016,51,Sam Hunt
2016,52,Halsey
2016,53,Carrie Underwood
2016,54,Blake Shelton
2016,55,Ellie Goulding
2016,56,Cole Swindell
2016,57,Post Malone
2016,58,D.R.A.M.
2016,59,Chris Brown
2016,60,Keith Urban
2016,61,Jason Aldean
2016,62,gnash
2016,63,Dierks Bentley
2016,64,One Direction
2016,65,Tim McGraw
2016,66,Prince
2016,67,Lil Uzi Vert
2016,68,Young Thug
2016,69,Sean Paul
2016,70,Ruth B
2016,71,Kelsea Ballerini
2016,72,Zara Larsson
2016,73,Lil Yachty
2016,74,Yo Gotti
2016,75,Flume
2016,76,Old Dominion
2016,77,Nick Jonas
2016,78,Silento
2016,79,Wiz Khalifa
2016,80,Rae Sremmurd
2016,81,Kenny Chesney
2016,82,MNEK
2016,83,Eric Church
2016,84,Maren Morris
2016,85,Demi Lovato
2016,86,Jon Pardi
2016,87,Rachel Platten
2016,88,Kyla
2016,90,Dan + Shay
2016,91,Nicki Minaj
2016,92,Bruno Mars
2016,93,LOCASH
2016,94,Disturbed
2016,95,Brett Eldredge
2016,96,MadeinTYO
2016,97,M0
2016,98,Rozes
2016,99,Troye Sivan
2016,100,Usher
2017,1,Ed Sheeran
2017,2,Bruno Mars
2017,3,Kendrick Lamar
2017,4,The Chainsmokers
2017,5,Drake
2017,6,Lil Uzi Vert
2017,7,Migos
2017,8,The Weeknd
2017,9,Imagine Dragons
2017,10,Future
2017,11,Shawn Mendes
2017,12,DJ Khaled
2017,13,Alessia Cara
2017,14,Post Malone
2017,15,Khalid
2017,16,Taylor Swift
2017,17,Sam Hunt
2017,18,Rihanna
2017,19,James Arthur
2017,20,Rae Sremmurd
2017,21,Halsey
2017,22,Niall Horan
2017,23,Justin Bieber
2017,24,Gucci Mane
2017,25,Luis Fonsi
2017,26,Big Sean
2017,27,Charlie Puth
2017,28,Maroon 5
2017,29,Kodak Black
2017,30,21 Savage
2017,31,Cardi B
2017,32,Travis Scott
2017,33,Childish Gambino
2017,34,Daddy Yankee
2017,35,Selena Gomez
2017,36,Julia Michaels
2017,37,Quavo
2017,38,French Montana
2017,39,XXXTENTACION
2017,40,Demi Lovato
2017,41,Camila Cabello
2017,42,Coldplay
2017,43,Brett Young
2017,44,Calvin Harris
2017,45,Zedd
2017,46,J. Cole
2017,47,KYLE
2017,48,Luke Combs
2017,49,Portugal. The Man
2017,50,Chris Brown
2017,51,Logic
2017,52,Thomas Rhett
2017,53,SZA
2017,54,Justin Timberlake
2017,55,twenty one pilots
2017,56,Zayn
2017,57,Nicki Minaj
2017,58,Jon Pardi
2017,59,Lady Gaga
2017,60,Liam Payne
2017,61,Daft Punk
2017,62,Ariana Grande
2017,63,Amine
2017,64,Ayo & Teo
2017,65,Lil Yachty
2017,66,Zay Hilfigerrr & Zayion McCall
2017,67,Kesha
2017,68,Kygo
2017,69,Katy Perry
2017,70,Clean Bandit
2017,71,Keith Urban
2017,72,Playboi Carti
2017,73,DJ Snake
2017,74,Dustin Lynch
2017,75,Yo Gotti
2017,76,Sia
2017,77,Blake Shelton
2017,78,Machine Gun Kelly
2017,79,Sam Smith
2017,80,A Boogie Wit da Hoodie
2017,81,Jon Bellion
2017,82,P!nk
2017,83,Jason Aldean
2017,84,Harry Styles
2017,85,Adele
2017,86,Miley Cyrus
2017,87,Hailee Steinfeld
2017,88,Swae Lee
2017,89,Florida Georgia Line
2017,90,Marian Hill
2017,91,2 Chainz
2017,92,Old Dominion
2017,93,Dua Lipa
2017,94,blackbear
2017,95,Maluma
2017,96,D.R.A.M.
2017,97,Kane Brown
2017,98,Luke Bryan
2017,99,Maren Morris
2017,100,Bebe Rexha
2018,1,Drake
2018,2,Post Malone
2018,3,Cardi B
2018,4,Ed Sheeran
2018,5,Imagine Dragons
2018,6,Camila Cabello
2018,7,XXXTENTACION
2018,8,Ariana Grande
2018,9,Migos
2018,10,Maroon 5
2018,11,Juice WRLD
2018,12,Dua Lipa
2018,13,Travis Scott
2018,14,Halsey
2018,15,Khalid
2018,16,6ix9ine
2018,17,Florida Georgia Line
2018,18,Ella Mai
2018,19,Kendrick Lamar
2018,20,Taylor Swift
2018,21,Nicki Minaj
2018,22,Bebe Rexha
2018,23,Bazzi
2018,24,Marshmello
2018,25,Eminem
2018,26,Lil Pump
2018,27,21 Savage
2018,28,NF
2018,29,Demi Lovato
2018,30,Selena Gomez
2018,31,Charlie Puth
2018,32,G-Eazy
2018,33,The Weeknd
2018,34,Lil Baby
2018,35,Dan + Shay
2018,36,Kane Brown
2018,37,J Balvin
2018,38,YoungBoy Never Broke Again
2018,39,Bruno Mars
2018,40,Shawn Mendes
2018,41,J. Cole
2018,42,Rich The Kid
2018,43,Bad Bunny
2018,44,Lil Wayne
2018,45,5 Seconds Of Summer
2018,46,SZA
2018,47,Portugal. The Man
2018,48,Luke Combs
2018,49,Lauv
2018,50,Thomas Rhett
2018,51,Childish Gambino
2018,52,BlocBoy JB
2018,53,Sam Smith
2018,54,Maren Morris
2018,55,Jason Aldean
2018,56,Offset
2018,57,Luke Bryan
2018,58,Kodak Black
2018,59,Young Thug
2018,60,Kanye West
2018,61,Ty Dolla $ign
2018,62,Tyga
2018,63,Logic
2018,64,Brett Young
2018,65,Zedd
2018,66,Normani
2018,67,Old Dominion
2018,68,Grey
2018,69,Famous Dex
2018,70,Kenny Chesney
2018,71,Lil Uzi Vert
2018,72,Metro Boomin
2018,73,Justin Timberlake
2018,74,Daddy Yankee
2018,75,Russell Dickerson
2018,76,Anne-Marie
2018,77,Lil Dicky
2018,78,YG
2018,79,Beyonce
2018,80,DJ Khaled
2018,81,Chris Brown
2018,82,Blake Shelton
2018,83,Gucci Mane
2018,84,Quavo
2018,85,The Carters
2018,86,Lil Skies
2018,87,Chris Stapleton
2018,88,MAX
2018,89,Ozuna
2018,90,P!nk
2018,91,Miguel
2018,92,Calvin Harris
2018,93,Panic! At The Disco
2018,94,lovelytheband
2018,95,Foster The People
2018,96,Eric Church
2018,97,Chris Young
2018,98,A$AP Ferg
2018,99,A$AP Rocky
2018,100,Queen Naija
2019,1,Post Malone
2019,2,Ariana Grande
2019,3,Khalid
2019,4,Billie Eilish
2019,5,Halsey
2019,6,Lil Nas X
2019,7,Travis Scott
2019,8,Cardi B
2019,9,Jonas Brothers
2019,10,Panic! At The Disco
2019,11,DaBaby
2019,12,Drake
2019,13,Taylor Swift
2019,14,Lizzo
2019,15,Juice WRLD
2019,16,Lil Baby
2019,17,Shawn Mendes
2019,18,Luke Combs
2019,19,Dan + Shay
2019,20,Swae Lee
2019,21,Meek Mill
2019,22,Ed Sheeran
2019,23,Marshmello
2019,24,J. Cole
2019,25,A Boogie Wit da Hoodie
2019,26,Camila Cabello
2019,27,Sam Smith
2019,28,5 Seconds Of Summer
2019,29,Chris Brown
2019,30,Ava Max
2019,31,Normani
2019,32,Lil Tecca
2019,33,Kodak Black
2019,34,Billy Ray Cyrus
2019,35,Maroon 5
2019,36,Lewis Capaldi
2019,37,Bad Bunny
2019,38,21 Savage
2019,39,Bastille
2019,40,Young Thug
2019,41,Justin Bieber
2019,42,YNW Melly
2019,43,Gunna
2019,44,Ella Mai
2019,45,Kane Brown
2019,46,Thomas Rhett
2019,47,Lady Gaga
2019,48,Blueface
2019,49,City Girls
2019,50,Sheck Wes
2019,51,Morgan Wallen
2019,52,Bradley Cooper
2019,53,Blake Shelton
2019,54,Dean Lewis
2019,55,Lauren Daigle
2019,56,Bruno Mars
2019,57,Luke Bryan
2019,58,Blanco Brown
2019,59,Jason Aldean
2019,60,Calboy
2019,61,Offset
2019,62,Katy Perry
2019,63,Megan Thee Stallion
2019,64,Mustard
2019,65,NLE Choppa
2019,66,YoungBoy Never Broke Again
2019,67,XXXTENTACION
2019,68,SHAED
2019,69,Flipp Dinero
2019,70,Polo G
2019,71,benny blanco
2019,72,Summer Walker
2019,73,Maren Morris
2019,74,The Chainsmokers
2019,75,Old Dominion
2019,76,Pinkfong
2019,77,Imagine Dragons
2019,78,Saweetie
2019,79,YK Osiris
2019,80,Kanye West
2019,81,DJ Khaled
2019,82,"Tyler, The Creator"
2019,83,DJ Snake
2019,84,NF
2019,85,6ix9ine
2019,86,Lee Brice
2019,87,Kelsea Ballerini
2019,88,Lil Tjay
2019,89,Dierks Bentley
2019,90,J Balvin
2019,91,Florida Georgia Line
2019,92,P!nk
2019,93,Anuel AA
2019,94,Chase Rice
2019,95,Daddy Yankee
2019,96,Future
2019,97,Lil Uzi Vert
2019,98,Lil Wayne
2019,99,Scotty McCreery
2019,100,Nicki Minaj
