no_overall,no_inseason,no_season,viewers,air_date,pitch_title,pitch_description,deal,sharks,category_1,category_2,business_category_1,business_category_2,business_category_3,category_3
34,11,3,5.4,4/13/12, The Sullivan Generator,a machine that produces natural energy from earth's rotation and gold as a by-product ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Science,Business,Energy,Food_and_Related_Products,Industrial_Goods_and_Services,Computers
34,11,3,5.4,4/13/12, Copa di Vino,the wine in a glass creator returns to pitch his product again ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Recreation,Arts,Investing,Marketing_and_Advertising,Consumer_Goods_and_Services,Computers
35,12,3,5.4,4/27/12,Nail Pak,"a 3-in-1 nail polish, remover, and file ",YES,"Mark, Daymond, Kevin, Lori, Robert",Games,Science,Information_Technology,Consumer_Goods_and_Services,Construction_and_Maintenance,Computers
35,12,3,5.4,4/27/12, Debbie Brooks Handbags,customizable handbags ,NO,"Mark, Daymond, Kevin, Lori, Robert",Computers,Home,Consumer_Goods_and_Services,Hospitality,Information_Technology,Business
35,12,3,5.4,4/27/12, Trimi Tank,tank tops with interchangeable straps ,NO,"Mark, Daymond, Kevin, Lori, Robert",Arts,Recreation,Arts_and_Entertainment,Consumer_Goods_and_Services,Information_Technology,Business
35,12,3,5.4,4/27/12, Lollacup,spill proof sippy cups ,YES,"Mark, Daymond, Kevin, Lori, Robert",Home,Games,Consumer_Goods_and_Services,Environment,Energy,Science
36,13,3,6,5/4/12,AirBedz,air mattresses for truck beds ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Home,Business,Arts_and_Entertainment,Transportation_and_Logistics,Consumer_Goods_and_Services,Recreation
36,13,3,6,5/4/12, Skyride,a human-powered monorail system ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Business,Science,Information_Technology,Arts_and_Entertainment,Transportation_and_Logistics,Sports
36,13,3,6,5/4/12, Boot Illusions,interchangeable covers to make heels into boots ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Arts,Sports,Agriculture_and_Forestry,Information_Technology,Arts_and_Entertainment,Recreation
36,13,3,6,5/4/12, Villy Customs,customizable bicycles ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Sports,Computers,Consumer_Goods_and_Services,Hospitality,Information_Technology,Home
37,14,3,5.5,5/11/12,Wild Squirrel Nut Butter,a line of peanut butters ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Home,Society,Food_and_Related_Products,Publishing_and_Printing,Investing,Arts
37,14,3,5.5,5/11/12, CAB20,a rock band ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Arts,Recreation,Arts_and_Entertainment,Agriculture_and_Forestry,Investing,Games
37,14,3,5.5,5/11/12, Mix Bikini,mix and match bikinis ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Sports,Arts,Arts_and_Entertainment,Retail_Trade,Food_and_Related_Products,Health
37,14,3,5.5,5/11/12, Billy Blanks Jr.'s Dance With Me,a new fitness program created by the son of the creator of the best selling fitness DVD ever ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Health,Arts,Consumer_Goods_and_Services,Opportunities,Telecommunications,Sports
38,15,3,5.5,5/18/12,Cougar Limited,an energy drink for women ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Health,Business,Energy,Food_and_Related_Products,Environment,Science
38,15,3,5.5,5/18/12, Remyxx ReKixx Sneakers,fashionable shoes that are completely recyclable ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Business,Arts,Telecommunications,Arts_and_Entertainment,Textiles_and_Nonwovens,Health
38,15,3,5.5,5/18/12, The NitroForce Titan 1000,a home gym system ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Sports,Health,Opportunities,Consumer_Goods_and_Services,Food_and_Related_Products,Home
38,15,3,5.5,5/18/12, UniKey Technologies,door locks operated by a smart phone application ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Computers,Business,Construction_and_Maintenance,Business_Services,Telecommunications,Science
39,1,4,6.4,9/14/12,CoatChex,a ticketless coat checking system ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Recreation,Computers,Opportunities,Consumer_Goods_and_Services,Agriculture_and_Forestry,Home
39,1,4,6.4,9/14/12, Bev Buckle,a belt buckle which serves as a beverage holder ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Recreation,Sports,Food_and_Related_Products,Consumer_Goods_and_Services,Agriculture_and_Forestry,Science
39,1,4,6.4,9/14/12, Body Walking,a massage service where the masseuse stands on the client ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Health,Computers,Healthcare,Information_Technology,Marketing_and_Advertising,Business
39,1,4,6.4,9/14/12, Buggy Beds,bed bug glue traps ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Home,Computers,Consumer_Goods_and_Services,Publishing_and_Printing,Hospitality,Arts
40,2,4,5.9,9/21/12,SurfSet Fitness,surfing-inspired exercise equipment ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Health,Business,Agriculture_and_Forestry,Biotechnology_and_Pharmaceuticals,Hospitality,Sports
40,2,4,5.9,9/21/12, Alpha M,a how-to-dress-for-success DVD series for men ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Arts,Sports,Agriculture_and_Forestry,Retail_Trade,Business_Services,Games
40,2,4,5.9,9/21/12, eCreamery,mail-order personalized ice cream ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Home,Sports,Food_and_Related_Products,Hospitality,Healthcare,Recreation
40,2,4,5.9,9/21/12, CATEapp,a smartphone app that hides messages from certain contacts ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Computers,Business,Telecommunications,Textiles_and_Nonwovens,Information_Technology,Games
41,3,4,6,9/28/12,Liz Lovely Cookies,"gluten free, vegan cookies ",NO,"Mark, Daymond, Kevin, Barbara, Robert",Health,Home,Cooperatives,Food_and_Related_Products,Automotive,Society
41,3,4,6,9/28/12, Rock Bands,bracelets made with allegedly healing stones ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Health,Society,Materials,Healthcare,Arts_and_Entertainment,Arts
41,3,4,6,9/28/12, FuzziBunz,reusable baby diapers ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Home,Health,Healthcare,Textiles_and_Nonwovens,Materials,Computers
41,3,4,6,9/28/12, Posture Now,a posture correcting device ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Computers,Health,Healthcare,Marketing_and_Advertising,Accounting,Society
42,4,4,6.1,10/5/12,Back 9 Dips,a chicken flavored dip ,YES,"Mark, Daymond, Kevin, Lori, Robert",Home,Recreation,Food_and_Related_Products,Retail_Trade,Agriculture_and_Forestry,Science
42,4,4,6.1,10/5/12, Lifter Hamper,a clothes hamper that raises as you empty it to ease bending over ,NO,"Mark, Daymond, Kevin, Lori, Robert",Health,Computers,Investing,Marketing_and_Advertising,Consumer_Goods_and_Services,Arts
42,4,4,6.1,10/5/12, Bag Bowl,a sleeve that converts zip-lock bags into temporary bowls ,YES,"Mark, Daymond, Kevin, Lori, Robert",Home,Sports,Materials,Industrial_Goods_and_Services,Marketing_and_Advertising,Games
42,4,4,6.1,10/5/12, Zomm,a device that alerts you if you forget your keys or phone ,NO,"Mark, Daymond, Kevin, Lori, Robert",Computers,Business,Telecommunications,Marketing_and_Advertising,Information_Technology,Health
43,5,4,6.4,10/12/12,Cozy Bug,a line of pillowcase dresses for girls ,YES,"Mark, Daymond, Kevin, Lori, Robert",Home,Health,Textiles_and_Nonwovens,Arts_and_Entertainment,Retail_Trade,Arts
43,5,4,6.4,10/12/12, Wired Waffles,energy-boosting waffles ,NO,"Mark, Daymond, Kevin, Lori, Robert",Home,Games,Food_and_Related_Products,Mining_and_Drilling,Cooperatives,Arts
43,5,4,6.4,10/12/12, Spatty,a miniature spatula designed to scrape small containers completely clean ,NO,"Mark, Daymond, Kevin, Lori, Robert",Home,Recreation,Industrial_Goods_and_Services,Agriculture_and_Forestry,Consumer_Goods_and_Services,Arts
43,5,4,6.4,10/12/12, Marz Sprays,vitamin oral sprays ,YES,"Mark, Daymond, Kevin, Lori, Robert",Health,Home,Materials,Healthcare,Opportunities,Science
44,6,4,7,10/19/12,Cousins Maine Lobster,a food truck serving lobster from Maine ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Home,Recreation,Transportation_and_Logistics,Hospitality,Food_and_Related_Products,Business
44,6,4,7,10/19/12, Freaker USA,beer koozies ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Games,Recreation,Marketing_and_Advertising,Food_and_Related_Products,Hospitality,Health
44,6,4,7,10/19/12, PRO-NRG,energy-infused flavored water ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Recreation,Home,Energy,Food_and_Related_Products,Environment,Science
44,6,4,7,10/19/12, Eco Nuts,natural soap nuts for laundry ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Home,Health,Food_and_Related_Products,Opportunities,Industrial_Goods_and_Services,Business
45,7,4,6.8,10/26/12,Scrub Daddy,an innovative dish scrubbing tool ,YES,"Mark, Daymond, Kevin, Lori, Robert",Business,Home,Environment,Industrial_Goods_and_Services,Food_and_Related_Products,Computers
45,7,4,6.8,10/26/12, The Bear & The Rat,dog-friendly frozen yogurt ,NO,"Mark, Daymond, Kevin, Lori, Robert",Home,Recreation,Food_and_Related_Products,Hospitality,Biotechnology_and_Pharmaceuticals,Health
45,7,4,6.8,10/26/12, SBU,an electric self-balancing unicycle ,YES,"Mark, Daymond, Kevin, Lori, Robert",Sports,Computers,Consumer_Goods_and_Services,Energy,Electronics_and_Electrical,Games
45,7,4,6.8,10/26/12, Shemie,modernized slips ,NO,"Mark, Daymond, Kevin, Lori, Robert",Society,Games,Investing,Textiles_and_Nonwovens,Industrial_Goods_and_Services,Recreation
46,8,4,7.4,11/2/12,Cool Wazoo,a 5-in-1 baby mat cover ,YES,"Mark, Daymond, Kevin, Lori, Robert",Home,Arts,Arts_and_Entertainment,Construction_and_Maintenance,Publishing_and_Printing,Games
46,8,4,7.4,11/2/12, No Fly Cone,a fly trap that uses dog excrement as bait ,NO,"Mark, Daymond, Kevin, Lori, Robert",Recreation,Home,Consumer_Goods_and_Services,Marketing_and_Advertising,Investing,Health
46,8,4,7.4,11/2/12, PlateTopper,airtight plate covers ,YES,"Mark, Daymond, Kevin, Lori, Robert",Home,Science,Construction_and_Maintenance,Business_Services,Publishing_and_Printing,Recreation
47,9,4,6.6,11/9/12,Drive Suits,motorized vehicle suits ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Games,Recreation,Consumer_Goods_and_Services,Electronics_and_Electrical,Automotive,Science
47,9,4,6.6,11/9/12, PC Classes Online,a computer instruction service for baby boomers ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Computers,Business,Hospitality,Healthcare,Publishing_and_Printing,Home
47,9,4,6.6,11/9/12, ReVestor,a real estate search engine ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Business,Recreation,Real_Estate,Marketing_and_Advertising,Automotive,Computers
47,9,4,6.6,11/9/12, Ice Chips,a healthy xylitol hard candy ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Society,Health,Food_and_Related_Products,Hospitality,Opportunities,Home
48,10,4,6.8,11/16/12,Nearly Newlywed,"a bridal dress boutique which buys, sells, and rents online ",NO,"Mark, Daymond, Kevin, Barbara, Robert",Arts,Society,Consumer_Goods_and_Services,Arts_and_Entertainment,Investing,Home
48,10,4,6.8,11/16/12,  Corks Away,a wine cruise business ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Recreation,Business,Hospitality,Food_and_Related_Products,Transportation_and_Logistics,Home
48,10,4,6.8,11/16/12, Tie Try,a neck tie mail-order rental service ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Home,Sports,Agriculture_and_Forestry,Automotive,Business_Services,Recreation
48,10,4,6.8,11/16/12, Ruckpack,a caffeine free energy drink developed by U.S. special forces ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Health,Science,Food_and_Related_Products,Energy,International_Business_and_Trade,Recreation
49,11,4,6.8,12/4/12,The Coop,a children's party place ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Society,Home,Publishing_and_Printing,Cooperatives,Arts_and_Entertainment,Health
49,11,4,6.8,12/4/12, Fat Ass Fudge,a homemade fudge company ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Home,Games,Construction_and_Maintenance,Food_and_Related_Products,Hospitality,Recreation
49,11,4,6.8,12/4/12, The Living Christmas Company,a Christmas tree renting service ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Home,Recreation,Transportation_and_Logistics,Agriculture_and_Forestry,Consumer_Goods_and_Services,Society
49,11,4,6.8,12/4/12, Partie Poche,a fashion accessory for women that replaces a handbag by carrying her phone and essentials around her leg ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Arts,Health,Consumer_Goods_and_Services,Arts_and_Entertainment,Agriculture_and_Forestry,Home
50,12,4,6.4,1/4/13,The GameFace Company,peel-off face masks ,YES,"Mark, Daymond, Kevin, Lori, Robert",Arts,Games,Environment,Information_Technology,Industrial_Goods_and_Services,Health
50,12,4,6.4,1/4/13, ARKEG,an arcade game machine that doubles as a beer tap ,NO,"Mark, Daymond, Kevin, Lori, Robert",Games,Sports,Food_and_Related_Products,Arts_and_Entertainment,Cooperatives,Recreation
50,12,4,6.4,1/4/13, Dura-Tent,screen tent-like food covers ,NO,"Mark, Daymond, Kevin, Lori, Robert",Computers,Home,Food_and_Related_Products,Publishing_and_Printing,Consumer_Goods_and_Services,Arts
50,12,4,6.4,1/4/13, Hot Tot,professional hair products for children ,YES,"Mark, Daymond, Kevin, Lori, Robert",Health,Business,Consumer_Goods_and_Services,Arts_and_Entertainment,Opportunities,Home
51,13,4,6.8,1/11/13,Coffee Joulies,a capsule that absorbs and releases heat to keep warm beverages at a drinkable temperature for an extended time ,YES,"Mark, Daymond, Kevin, Lori, Robert",Recreation,Home,Food_and_Related_Products,Agriculture_and_Forestry,Construction_and_Maintenance,Science
51,13,4,6.8,1/11/13, Teddy Needs a Bath,a bag for cleaning stuffed toys in the washing machine ,YES,"Mark, Daymond, Kevin, Lori, Robert",Home,Recreation,Consumer_Goods_and_Services,Industrial_Goods_and_Services,Arts_and_Entertainment,Computers
51,13,4,6.8,1/11/13, Sub Zero Ice Cream,an ice cream shop that creates fresh customized dishes that are instantly frozen using liquid nitrogen ,NO,"Mark, Daymond, Kevin, Lori, Robert",Home,Science,Food_and_Related_Products,Hospitality,Marketing_and_Advertising,Recreation
51,13,4,6.8,1/11/13, Urbio,modular indoor planters for urban spaces ,YES,"Mark, Daymond, Kevin, Lori, Robert",Home,Science,Construction_and_Maintenance,Marketing_and_Advertising,Agriculture_and_Forestry,Sports
52,14,4,6.7,2/1/13,Bibbitec,a baby bib that covers the whole body ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Home,Arts,Consumer_Goods_and_Services,Arts_and_Entertainment,Investing,Health
52,14,4,6.7,2/1/13, SoundBender,a device that directs sound from iPad speakers towards the user ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Science,Computers,Business_Services,Information_Technology,Marketing_and_Advertising,Games
52,14,4,6.7,2/1/13, CuddleTunes,a teddy bear that plays personalized messages ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Computers,Recreation,Investing,Marketing_and_Advertising,Arts_and_Entertainment,Games
52,14,4,6.7,2/1/13, Xero Shoes,sandals for barefoot runners ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Sports,Home,Consumer_Goods_and_Services,Business_Services,Construction_and_Maintenance,Recreation
53,15,4,6.1,2/8/13,The Green Garmento,an eco-friendly garment bag ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Business,Home,Textiles_and_Nonwovens,Consumer_Goods_and_Services,Environment,Arts
53,15,4,6.1,2/8/13, Grinds,an alternative to chewing tobacco made from ground coffee ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Recreation,Health,Food_and_Related_Products,Consumer_Goods_and_Services,Investing,Home
53,15,4,6.1,2/8/13, My Cold Snap,an individual ice chest for single cans ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Recreation,Sports,Industrial_Goods_and_Services,Food_and_Related_Products,Marketing_and_Advertising,Health
53,15,4,6.1,2/8/13, Hoodie Pillow,bed and neck pillows with attached hoods ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Home,Health,Textiles_and_Nonwovens,Hospitality,Agriculture_and_Forestry,Science
54,16,4,6.5,2/15/13,Gotta Have S'More,s'more based muffins ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Home,Health,Food_and_Related_Products,Opportunities,Automotive,Business
54,16,4,6.5,2/15/13, How Do You Roll?,a create-your-own sushi restaurant ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Recreation,Home,Hospitality,Food_and_Related_Products,Opportunities,Business
54,16,4,6.5,2/15/13, Pretty Padded Room,online psychotherapy services ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Health,Science,Business_Services,Marketing_and_Advertising,Transportation_and_Logistics,Business
54,16,4,6.5,2/15/13, SmartWheel,a prototype steering wheel that prevents distracted driving ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Recreation,Games,Transportation_and_Logistics,Automotive,Industrial_Goods_and_Services,Computers
55,17,4,6.5,2/22/13,Addison's Wonderland,customized children's bedspreads ,NO,"Mark, Daymond, Kevin, Lori, Robert",Business,Home,Textiles_and_Nonwovens,Publishing_and_Printing,Healthcare,Health
55,17,4,6.5,2/22/13, Muddy Water Camo,more realistic camouflage for duck hunters ,NO,"Mark, Daymond, Kevin, Lori, Robert",Recreation,Games,Investing,Consumer_Goods_and_Services,Aerospace_and_Defense,Home
55,17,4,6.5,2/22/13, Hip Chixs,premium denim jeans ,NO,"Mark, Daymond, Kevin, Lori, Robert",Business,Arts,Textiles_and_Nonwovens,Consumer_Goods_and_Services,Arts_and_Entertainment,Health
55,17,4,6.5,2/22/13, Proof Eyewear,handcrafted eyewear made from wood ,NO,"Mark, Daymond, Kevin, Lori, Robert",Arts,Recreation,Consumer_Goods_and_Services,Construction_and_Maintenance,Environment,Business
56,18,4,6.6,3/1/13,Nuts 'n More,fortified nut butters ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Home,Society,Food_and_Related_Products,Construction_and_Maintenance,Telecommunications,Health
56,18,4,6.6,3/1/13, Psi Bands,an acupressure wrist band for relieving nausea ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Health,Sports,Healthcare,Telecommunications,Investing,Arts
56,18,4,6.6,3/1/13, Neo Innovations,a home use tattoo removal device ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Arts,Computers,Telecommunications,Healthcare,Consumer_Goods_and_Services,Home
56,18,4,6.6,3/1/13, Jeska Shoe Company,shoes that can change look and style ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Arts,Computers,Consumer_Goods_and_Services,Investing,Marketing_and_Advertising,Home
57,19,4,6.8,3/8/13,Baby Loves Disco,children's party entertainment ,NO,"Mark, Daymond, Kevin, Lori, Robert",Arts,Home,Arts_and_Entertainment,Publishing_and_Printing,Opportunities,Society
57,19,4,6.8,3/8/13, Lose 12 Inches With Any 12 Workouts,a fitness program that teaches how to improve workout efficiency ,YES,"Mark, Daymond, Kevin, Lori, Robert",Health,Sports,Consumer_Goods_and_Services,Marketing_and_Advertising,Retail_Trade,Business
57,19,4,6.8,3/8/13, CellHelmet,mobile device cases and screen protectors that include device repair service ,NO,"Mark, Daymond, Kevin, Lori, Robert",Computers,Business,Telecommunications,Electronics_and_Electrical,Information_Technology,Home
57,19,4,6.8,3/8/13, CordaRoy's,bean bag chairs that convert into beds ,YES,"Mark, Daymond, Kevin, Lori, Robert",Home,Business,Consumer_Goods_and_Services,Arts_and_Entertainment,Hospitality,Arts
58,20,4,6.1,3/29/13,Drop Stop,a device to stop objects from falling between a car seat and the center console ,YES,"Mark, Daymond, Kevin, Lori, Robert",Computers,Games,Telecommunications,Information_Technology,Automotive,Recreation
58,20,4,6.1,3/29/13, Traditional Fisheries,"a company that promotes consumption of lionfish, an extremely invasive species, in an effort to help the ecology ",NO,"Mark, Daymond, Kevin, Lori, Robert",Science,Health,Cooperatives,Information_Technology,Marketing_and_Advertising,Business
58,20,4,6.1,3/29/13, Simple Sugars,a sugar scrub that nourishes and exfloriates skin ,YES,"Mark, Daymond, Kevin, Lori, Robert",Health,Recreation,Food_and_Related_Products,Materials,Telecommunications,Home
58,20,4,6.1,3/29/13,", CoolWraps",shrink wrap gift bags ,YES,"Mark, Daymond, Kevin, Lori, Robert",Home,Health,Consumer_Goods_and_Services,Industrial_Goods_and_Services,Retail_Trade,Business
59,21,4,7,4/5/13,Liddup,a cooler with interior LED lighting ,YES,"Mark, Daymond, Kevin, Lori, Robert",Home,Recreation,Construction_and_Maintenance,Business_Services,Arts_and_Entertainment,Science
59,21,4,7,4/5/13, Echo Valley Meats,a gourmet meat business ,NO,"Mark, Daymond, Kevin, Lori, Robert",Home,Business,Food_and_Related_Products,Hospitality,Opportunities,Recreation
59,21,4,7,4/5/13, Rootsuit,novelty cover-all costumes ,NO,"Mark, Daymond, Kevin, Lori, Robert",Recreation,Arts,Construction_and_Maintenance,Consumer_Goods_and_Services,Arts_and_Entertainment,Games
59,21,4,7,4/5/13, Gobie H2O,advanced filtered water bottles ,YES,"Mark, Daymond, Kevin, Lori, Robert",Recreation,Science,Food_and_Related_Products,Industrial_Goods_and_Services,Materials,Home
60,22,4,6.6,4/26/13,Shell Bobbers,a shotgun shell converted into a fishing bobber ,YES,"Mark, Daymond, Kevin, Lori, Robert",Recreation,Games,Consumer_Goods_and_Services,Industrial_Goods_and_Services,Marketing_and_Advertising,Science
60,22,4,6.6,4/26/13, Wicked Good Cupcakes,mail-order cupcakes shipped in jars ,YES,"Mark, Daymond, Kevin, Lori, Robert",Home,Computers,Hospitality,Food_and_Related_Products,Aerospace_and_Defense,Recreation
60,22,4,6.6,4/26/13, Tremont Electric,a portable generator that uses kinetic energy to power small devices ,NO,"Mark, Daymond, Kevin, Lori, Robert",Computers,Science,Energy,Healthcare,Industrial_Goods_and_Services,Business
60,22,4,6.6,4/26/13, The Mission Belt,a ratcheting belt ,YES,"Mark, Daymond, Kevin, Lori, Robert",Science,Sports,Industrial_Goods_and_Services,Environment,Energy,Recreation
61,23,4,5.7,5/3/13,MistoBox,artisan coffees from around the world delivered to your door ,YES,"Mark, Daymond, Kevin, Lori, Robert",Business,Home,Construction_and_Maintenance,Food_and_Related_Products,Marketing_and_Advertising,Recreation
61,23,4,5.7,5/3/13, Squirrel Boss,a squirrel-proof bird feeder ,NO,"Mark, Daymond, Kevin, Lori, Robert",Recreation,Home,Agriculture_and_Forestry,Publishing_and_Printing,Industrial_Goods_and_Services,Science
61,23,4,5.7,5/3/13, The Vermont Butcher Block & Board Company,premium wooden kitchen products ,NO,"Mark, Daymond, Kevin, Lori, Robert",Home,Business,Construction_and_Maintenance,Consumer_Goods_and_Services,Food_and_Related_Products,Recreation
61,23,4,5.7,5/3/13, Mee-Ma's Louisiana Gumbo Brick,a frozen gumbo base ,YES,"Mark, Daymond, Kevin, Lori, Robert",Home,Recreation,Food_and_Related_Products,Biotechnology_and_Pharmaceuticals,Hospitality,Computers
62,24,4,6.2,5/10/13,Baby's Badass Burgers,a food truck company wanting to expand into a storefront ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Business,Recreation,Transportation_and_Logistics,Construction_and_Maintenance,Food_and_Related_Products,Home
62,24,4,6.2,5/10/13, Track Days,a potential movie idea involving motorcycle racing ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Sports,Recreation,Automotive,Arts_and_Entertainment,Agriculture_and_Forestry,Arts
62,24,4,6.2,5/10/13, KaZAM,a non-pedal bike for helping children learn to ride ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Sports,Health,Arts_and_Entertainment,Cooperatives,Automotive,Recreation
62,24,4,6.2,5/10/13, Pink Shutter Photobooths,party photobooths ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Society,Home,Cooperatives,Arts_and_Entertainment,Business_Services,Games
63,25,4,5.1,5/17/13,Jones Scones,traditional British scones ,NO,"Mark, Daymond, Kevin, Lori, Robert",Home,Recreation,Agriculture_and_Forestry,Marketing_and_Advertising,Textiles_and_Nonwovens,Games
63,25,4,5.1,5/17/13, LugLess,a luggage shipping and delivery service ,NO,"Mark, Daymond, Kevin, Lori, Robert",Business,Home,Transportation_and_Logistics,Consumer_Goods_and_Services,Telecommunications,Computers
63,25,4,5.1,5/17/13, Geek Chic,furniture for gamers ,YES,"Mark, Daymond, Kevin, Lori, Robert",Games,Business,Telecommunications,Consumer_Goods_and_Services,Business_Services,Home
63,25,4,5.1,5/17/13, Stella Valle,military-inspired costume jewelry ,YES,"Mark, Daymond, Kevin, Lori, Robert",Arts,Recreation,Consumer_Goods_and_Services,Arts_and_Entertainment,Retail_Trade,Home
64,26,4,6.6,5/17/13,Three Day Rule,an invite-only dating website ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Science,Recreation,Marketing_and_Advertising,Healthcare,Information_Technology,Society
64,26,4,6.6,5/17/13, Ryan's Barkery,all-natural dog treats ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Business,Recreation,Consumer_Goods_and_Services,Food_and_Related_Products,Construction_and_Maintenance,Health
64,26,4,6.6,5/17/13, Tom + Chee,a gourmet grilled cheese sandwich restaurant ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Home,Recreation,Hospitality,Food_and_Related_Products,Opportunities,Business
64,26,4,6.6,5/17/13, VerbalizeIt,a translator service ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Computers,Business,Business_Services,Accounting,Investing,Recreation
65,1,5,6.8,9/20/13,Postcard on the Run,a mobile app for sending postcards ,YES,"Mark, Barbara, Kevin, Lori, Robert",Computers,Recreation,Telecommunications,Information_Technology,Publishing_and_Printing,Business
65,1,5,6.8,9/20/13, Lynnae's Gourmet Pickles,specialty pickles ,NO,"Mark, Barbara, Kevin, Lori, Robert",Home,Business,Food_and_Related_Products,Hospitality,Materials,Health
65,1,5,6.8,9/20/13, RoloDoc,a system for upgrading communication between patients and medical professionals ,NO,"Mark, Barbara, Kevin, Lori, Robert",Health,Computers,Healthcare,Telecommunications,Biotechnology_and_Pharmaceuticals,Business
65,1,5,6.8,9/20/13, Sweet Ballz,cake balls ,YES,"Mark, Barbara, Kevin, Lori, Robert",Home,Sports,Food_and_Related_Products,Industrial_Goods_and_Services,Business_Services,Recreation
66,2,5,6.9,9/27/13,Mango Mango,mango preserves ,NO,"Mark, Daymond, Kevin, Lori, Robert",Home,Science,Food_and_Related_Products,Marketing_and_Advertising,Automotive,Recreation
66,2,5,6.9,9/27/13, Breathometer,a smartphone breathalyzer ,YES,"Mark, Daymond, Kevin, Lori, Robert",Health,Computers,Telecommunications,Retail_Trade,Mining_and_Drilling,Business
66,2,5,6.9,9/27/13, Man Medals,medals for men doing chores ,NO,"Mark, Daymond, Kevin, Lori, Robert",Sports,Home,Construction_and_Maintenance,Consumer_Goods_and_Services,Agriculture_and_Forestry,Society
66,2,5,6.9,9/27/13, Kane & Couture,designer dog apparel and accessories ,YES,"Mark, Daymond, Kevin, Lori, Robert",Recreation,Business,Consumer_Goods_and_Services,Textiles_and_Nonwovens,Arts_and_Entertainment,Arts
67,3,5,6.4,10/4/13,Fairytale Wishes,aromatherapy sprays for children ,NO,"Mark, Barbara, Kevin, Lori, Robert",Health,Home,Materials,Opportunities,Consumer_Goods_and_Services,Business
67,3,5,6.4,10/4/13, The Freeloader,a piggyback carrier for children ,YES,"Mark, Barbara, Kevin, Lori, Robert",Computers,Recreation,Transportation_and_Logistics,Telecommunications,Publishing_and_Printing,Society
